wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
1.199000000000000000e+03,3.668424161302118591e+02,1.199000000000000000e+03,3.668424161302118591e+03
1.201000000000000000e+03,4.004917719051956624e+02,1.201000000000000000e+03,4.004917719051956738e+03
1.203000000000000000e+03,3.720225682997913736e+02,1.203000000000000000e+03,3.720225682997913736e+03
1.205000000000000000e+03,6.556239225913845985e+02,1.205000000000000000e+03,6.556239225913845075e+03
1.207000000000000000e+03,3.254725591866675245e+02,1.207000000000000000e+03,3.254725591866674677e+03
1.209000000000000000e+03,2.099054591896820057e+02,1.209000000000000000e+03,2.099054591896820057e+03
1.211000000000000000e+03,4.171173341467351179e+02,1.211000000000000000e+03,4.171173341467351747e+03
1.213000000000000000e+03,2.631538952186708684e+02,1.213000000000000000e+03,2.631538952186708229e+03
1.215000000000000000e+03,4.759185583627102005e+02,1.215000000000000000e+03,4.759185583627101551e+03
1.217000000000000000e+03,2.408853876930349429e+02,1.217000000000000000e+03,2.408853876930349543e+03
1.219000000000000000e+03,2.823650104124547511e+02,1.219000000000000000e+03,2.823650104124547397e+03
1.221000000000000000e+03,3.128488577832878832e+02,1.221000000000000000e+03,3.128488577832878491e+03
1.223000000000000000e+03,3.052713022431582885e+02,1.223000000000000000e+03,3.052713022431582885e+03
1.225000000000000000e+03,3.318720125261001499e+02,1.225000000000000000e+03,3.318720125261001158e+03
1.227000000000000000e+03,5.765957540829570007e+02,1.227000000000000000e+03,5.765957540829570462e+03
1.229000000000000000e+03,3.784763005466300001e+02,1.229000000000000000e+03,3.784763005466300001e+03
1.231000000000000000e+03,2.777794399991755085e+02,1.231000000000000000e+03,2.777794399991755199e+03
1.233000000000000000e+03,3.613182949713840912e+02,1.233000000000000000e+03,3.613182949713840571e+03
1.235000000000000000e+03,3.231575832935878339e+02,1.235000000000000000e+03,3.231575832935878680e+03
1.237000000000000000e+03,6.550680391231646809e+02,1.237000000000000000e+03,6.550680391231646354e+03
1.239000000000000000e+03,3.614190277336370514e+02,1.239000000000000000e+03,3.614190277336370400e+03
1.241000000000000000e+03,3.462498503462925896e+02,1.241000000000000000e+03,3.462498503462925783e+03
1.243000000000000000e+03,2.784050488735859403e+02,1.243000000000000000e+03,2.784050488735859290e+03
1.245000000000000000e+03,3.487496871120650894e+02,1.245000000000000000e+03,3.487496871120650667e+03
1.247000000000000000e+03,5.747655099349758530e+02,1.247000000000000000e+03,5.747655099349757620e+03
1.249000000000000000e+03,3.178034470588507929e+02,1.249000000000000000e+03,3.178034470588508157e+03
1.251000000000000000e+03,2.858741184548700858e+02,1.251000000000000000e+03,2.858741184548701312e+03
1.253000000000000000e+03,3.434891737114249963e+02,1.253000000000000000e+03,3.434891737114250191e+03
1.255000000000000000e+03,2.704827715838089262e+02,1.255000000000000000e+03,2.704827715838089262e+03
1.257000000000000000e+03,5.327363728196481816e+02,1.257000000000000000e+03,5.327363728196481134e+03
1.259000000000000000e+03,3.024838386077141195e+02,1.259000000000000000e+03,3.024838386077140967e+03
1.261000000000000000e+03,2.522772564102999979e+02,1.261000000000000000e+03,2.522772564103000150e+03
1.263000000000000000e+03,2.564087252398183523e+02,1.263000000000000000e+03,2.564087252398182954e+03
1.265000000000000000e+03,2.687843382280755691e+02,1.265000000000000000e+03,2.687843382280755577e+03
1.267000000000000000e+03,5.156000196401486164e+02,1.267000000000000000e+03,5.156000196401486392e+03
1.269000000000000000e+03,2.322660234133755353e+02,1.269000000000000000e+03,2.322660234133755239e+03
1.271000000000000000e+03,2.754445673827865448e+02,1.271000000000000000e+03,2.754445673827865448e+03
1.273000000000000000e+03,2.972996479479584195e+02,1.273000000000000000e+03,2.972996479479584650e+03
1.275000000000000000e+03,2.126560157105384405e+02,1.275000000000000000e+03,2.126560157105384405e+03
1.277000000000000000e+03,4.968828704735113320e+02,1.277000000000000000e+03,4.968828704735112296e+03
1.279000000000000000e+03,2.696107699029290643e+02,1.279000000000000000e+03,2.696107699029290870e+03
1.281000000000000000e+03,2.151224363639512944e+02,1.281000000000000000e+03,2.151224363639512831e+03
1.283000000000000000e+03,2.351389016026716376e+02,1.283000000000000000e+03,2.351389016026716035e+03
1.285000000000000000e+03,2.228321271719705408e+02,1.285000000000000000e+03,2.228321271719705692e+03
1.287000000000000000e+03,2.272565989163390157e+02,1.287000000000000000e+03,2.272565989163390441e+03
1.289000000000000000e+03,4.496979136650152782e+02,1.289000000000000000e+03,4.496979136650152213e+03
1.291000000000000000e+03,1.677738992461529790e+02,1.291000000000000000e+03,1.677738992461529733e+03
1.293000000000000000e+03,1.969156575950005958e+02,1.293000000000000000e+03,1.969156575950005845e+03
1.295000000000000000e+03,2.110220140170442846e+02,1.295000000000000000e+03,2.110220140170442846e+03
1.297000000000000000e+03,2.152687412594416969e+02,1.297000000000000000e+03,2.152687412594416855e+03
1.299000000000000000e+03,4.052539045387460419e+02,1.299000000000000000e+03,4.052539045387460646e+03
1.301000000000000000e+03,2.311838931269063551e+02,1.301000000000000000e+03,2.311838931269063323e+03
1.303000000000000000e+03,2.292509445504892085e+02,1.303000000000000000e+03,2.292509445504892483e+03
