wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
1.391000000000000000e+03,1.746874035507487832e+01,1.391000000000000000e+03,5.524100737613512990e+01
1.393000000000000000e+03,1.210750757208481332e+01,1.393000000000000000e+03,3.828730071552329406e+01
1.395000000000000000e+03,1.152841827816334508e+01,1.395000000000000000e+03,3.645605957811275744e+01
1.397000000000000000e+03,1.181519668149958768e+01,1.397000000000000000e+03,3.736293251640172031e+01
1.399000000000000000e+03,1.139296946536058464e+01,1.399000000000000000e+03,3.602773282329026472e+01
1.401000000000000000e+03,1.114867146733902459e+01,1.401000000000000000e+03,3.525519472172281610e+01
1.403000000000000000e+03,1.642186197583214380e+01,1.403000000000000000e+03,5.193048726454254194e+01
1.405000000000000000e+03,1.122556641633968511e+01,1.405000000000000000e+03,3.549835790112739886e+01
1.407000000000000000e+03,1.151987380550386142e+01,1.407000000000000000e+03,3.642903958310375145e+01
1.409000000000000000e+03,1.177549495583077288e+01,1.409000000000000000e+03,3.723738463624909656e+01
1.411000000000000000e+03,1.261260658304443361e+01,1.411000000000000000e+03,3.988456403405404416e+01
1.413000000000000000e+03,1.707547814060946578e+01,1.413000000000000000e+03,5.399740306074280483e+01
1.415000000000000000e+03,1.095064934889874664e+01,1.415000000000000000e+03,3.462899380035991470e+01
1.417000000000000000e+03,1.123321415635182063e+01,1.417000000000000000e+03,3.552254217851854889e+01
1.419000000000000000e+03,1.183739949347279641e+01,1.419000000000000000e+03,3.743314397269751481e+01
1.421000000000000000e+03,1.152767850438098485e+01,1.421000000000000000e+03,3.645372020800722623e+01
1.423000000000000000e+03,1.624031997243364955e+01,1.423000000000000000e+03,5.135640104281328178e+01
1.425000000000000000e+03,1.064042395371633987e+01,1.425000000000000000e+03,3.364797496355767947e+01
1.427000000000000000e+03,1.105624106463240253e+01,1.427000000000000000e+03,3.496290412412330539e+01
1.429000000000000000e+03,1.114134913232778601e+01,1.429000000000000000e+03,3.523203946529650921e+01
1.431000000000000000e+03,1.228050345459708836e+01,1.431000000000000000e+03,3.883436173009297931e+01
1.433000000000000000e+03,1.447298586390174613e+01,1.433000000000000000e+03,4.576759987334924062e+01
1.435000000000000000e+03,1.128267491212736040e+01,1.435000000000000000e+03,3.567895082156257303e+01
1.437000000000000000e+03,1.098529971877754186e+01,1.437000000000000000e+03,3.473856789094420350e+01
1.439000000000000000e+03,1.206423033081549079e+01,1.439000000000000000e+03,3.815044606226359747e+01
1.441000000000000000e+03,1.062792598269282607e+01,1.441000000000000000e+03,3.360845290899258941e+01
1.443000000000000000e+03,1.489614054753482719e+01,1.443000000000000000e+03,4.710573247619775117e+01
1.445000000000000000e+03,1.082778245665144290e+01,1.445000000000000000e+03,3.424045457183194685e+01
1.447000000000000000e+03,1.047847570564847075e+01,1.447000000000000000e+03,3.313584963658925631e+01
1.449000000000000000e+03,1.065687586825689337e+01,1.449000000000000000e+03,3.370000048537627180e+01
1.451000000000000000e+03,1.054246432940937517e+01,1.451000000000000000e+03,3.333819943201328329e+01
1.453000000000000000e+03,1.490571188407236036e+01,1.453000000000000000e+03,4.713599969990835348e+01
1.455000000000000000e+03,9.768466923720918516e+00,1.455000000000000000e+03,3.089060472697638815e+01
1.457000000000000000e+03,9.659727341321271865e+00,1.457000000000000000e+03,3.054673997477795311e+01
1.459000000000000000e+03,9.629235753727813929e+00,1.459000000000000000e+03,3.045031710850808793e+01
1.461000000000000000e+03,1.058195456595168693e+01,1.461000000000000000e+03,3.346307852482578937e+01
1.463000000000000000e+03,9.588198407395942979e+00,1.463000000000000000e+03,3.032054562497021877e+01
1.465000000000000000e+03,1.434549984002657652e+01,1.465000000000000000e+03,4.536445366806509583e+01
1.467000000000000000e+03,1.029291425326592879e+01,1.467000000000000000e+03,3.254905280113154475e+01
1.469000000000000000e+03,1.000133331768329548e+01,1.469000000000000000e+03,3.162699292240758453e+01
1.471000000000000000e+03,1.017549571751124482e+01,1.471000000000000000e+03,3.217774278862483328e+01
1.473000000000000000e+03,1.019001654970391790e+01,1.473000000000000000e+03,3.222366169187476714e+01
1.475000000000000000e+03,1.451617473839240269e+01,1.475000000000000000e+03,4.590417508631886534e+01
1.477000000000000000e+03,9.448629511632482547e+00,1.477000000000000000e+03,2.987919002384305500e+01
1.479000000000000000e+03,1.090332515078401521e+01,1.479000000000000000e+03,3.447934154587631639e+01
1.481000000000000000e+03,1.042084610628785057e+01,1.481000000000000000e+03,3.295360884196671236e+01
1.483000000000000000e+03,9.851008507578049134e+00,1.483000000000000000e+03,3.115162413364270932e+01
1.485000000000000000e+03,1.449742623671559016e+01,1.485000000000000000e+03,4.584488711830464780e+01
1.487000000000000000e+03,9.591578591433588485e+00,1.487000000000000000e+03,3.033123470543972289e+01
1.489000000000000000e+03,9.525047561661228457e+00,1.489000000000000000e+03,3.012084511628259520e+01
1.491000000000000000e+03,9.891785464602751432e+00,1.491000000000000000e+03,3.128057219389157595e+01
1.493000000000000000e+03,9.814738892496508882e+00,1.493000000000000000e+03,3.103692954012744565e+01
1.495000000000000000e+03,1.366890177718253874e+01,1.495000000000000000e+03,4.322486272902020232e+01
